"OECD (2015), Population (indicator). doi: 10.1787/d434f82b-en (Accessed on 03 July 2015)"
https://data.oecd.org/pop/population.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Population, Total, Million persons"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags","2014 Flags"
Denmark,4.5796,4.6117,4.6477,4.6845,4.7221,4.7590,4.7974,4.8354,4.8649,4.8919,4.9288,4.9631,4.9916,5.0219,5.0453,5.0599,5.0726,5.0884,5.1042,5.1168,5.1230,5.1216,5.1178,5.1143,5.1116,5.1137,5.1205,5.1270,5.1295,5.1326,5.1409,5.1543,5.1714,5.1886,5.2062,5.2334,5.2631,5.2850,5.3042,5.3218,5.3396,5.3588,5.3759,5.3906,5.4045,5.4194,5.4373,5.4614,5.4936,5.5231,5.5477,5.5706,5.5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,..,..
Estonia,1.2115,1.2251,1.2416,1.2589,1.2771,1.2946,1.3086,1.3189,1.3312,1.3452,1.3601,1.3770,1.3925,1.4060,1.4182,1.4294,1.4396,1.4502,1.4602,1.4683,1.4772,1.4877,1.4984,1.5087,1.5186,1.5288,1.5402,1.5522,1.5619,1.5681,1.5692,1.5613,1.5331,1.4941,1.4625,1.4366,1.4156,1.3995,1.3862,1.3806,1.4013,1.3927,1.3835,1.3752,1.3662,1.3588,1.3507,1.3429,1.3384,1.3357,1.3333,1.3297,1.3252,1.3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,4.4300,4.4610,4.4910,4.5230,4.5490,4.5640,4.5810,4.6060,4.6260,4.6240,4.6060,4.6120,4.6400,4.6660,4.6910,4.7120,4.7260,4.7390,4.7530,4.7650,4.7790,4.8000,4.8270,4.8560,4.8820,4.9020,4.9180,4.9320,4.9470,4.9640,4.9860,5.0140,5.0420,5.0660,5.0880,5.1080,5.1250,5.1400,5.1530,5.1650,5.1760,5.1880,5.2010,5.2130,5.2280,5.2460,5.2670,5.2890,5.3130,5.3390,5.3630,5.3880,5.4140,5.4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
France,45.6842,46.1628,46.9977,47.8162,48.3104,48.7578,49.1637,49.5483,49.9154,50.3180,50.7722,51.2511,51.7009,52.1183,52.4604,52.6992,52.9087,53.1453,53.3763,53.6062,53.8800,54.1818,54.4925,54.7724,55.0261,55.2843,55.5465,55.8240,56.1180,56.4234,56.7088,56.9756,57.2398,57.4671,57.6588,57.8443,58.0260,58.2075,58.3978,58.6774,59.0624,59.4762,59.8939,60.3036,60.7343,61.1815,61.5975,61.9650,62.3003,62.6155,62.9178,63.2232,63.5140,63.7861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Germany,55.5850,56.1750,56.8370,57.3890,57.9710,58.6190,59.1480,59.2860,59.5000,60.0670,60.6510,61.3020,61.6720,61.9760,62.0540,61.8290,61.5310,61.4000,61.3270,61.3590,61.5660,61.6820,61.6380,61.4230,61.1750,61.0240,61.0660,61.0770,61.4500,62.0630,63.2540,79.9840,80.5950,81.1790,81.4220,81.6610,81.8950,82.0520,82.0290,82.0240,82.1600,82.2770,82.4560,82.5020,82.4910,82.4650,82.3690,82.2570,82.1350,81.9040,81.7150,81.7550,81.9130,82.1050,,,,,,,,,,,,,,,,,,,,,,,,,|,,,|,,,,|,,,,,,,,|,,,,,,,,,,,,,,,,..
Greece,8.3317,8.3980,8.4482,8.4796,8.5104,8.5503,8.6137,8.6841,8.7408,8.7728,8.7928,8.8310,8.8886,8.9291,8.9620,9.0465,9.1882,9.3085,9.4300,9.5483,9.6425,9.7294,9.7895,9.8466,9.8958,9.9343,9.9672,10.0006,10.0370,10.0895,10.1569,10.2563,10.3699,10.4655,10.5530,10.6344,10.7092,10.7765,10.8349,10.8826,10.9175,10.9500,10.9830,11.0160,11.0570,11.0930,11.1310,11.1630,11.1860,11.1850,11.1530,11.1240,11.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,..,..
Hungary,9.9840,10.0280,10.0610,10.0880,10.1200,10.1480,10.1790,10.2170,10.2560,10.2940,10.3380,10.3680,10.3980,10.4320,10.4790,10.5410,10.5990,10.6480,10.6850,10.7110,10.7110,10.7120,10.7060,10.6890,10.6680,10.6490,10.6310,10.6130,10.5960,10.5780,10.3740,10.3730,10.3690,10.3580,10.3430,10.3290,10.3110,10.2900,10.2670,10.2380,10.2110,10.1880,10.1590,10.1300,10.1070,10.0870,10.0710,10.0560,10.0380,10.0230,10.0000,9.9720,9.9200,9.8940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,..
Iceland,0.1759,0.1789,0.1821,0.1855,0.1888,0.1923,0.1956,0.1988,0.2015,0.2034,0.2045,0.2062,0.2092,0.2123,0.2152,0.2180,0.2202,0.2218,0.2235,0.2257,0.2281,0.2308,0.2340,0.2370,0.2395,0.2414,0.2432,0.2460,0.2499,0.2527,0.2548,0.2580,0.2611,0.2638,0.2660,0.2674,0.2689,0.2709,0.2738,0.2772,0.2812,0.2851,0.2876,0.2893,0.2926,0.2959,0.3043,0.3114,0.3194,0.3192,0.3180,0.3190,0.3207,0.3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
India,449.5214,458.4960,467.8056,477.4570,487.4641,497.8542,508.4673,519.4700,530.8898,542.7511,555.0637,567.6116,580.5688,593.9493,607.7719,622.0544,636.6017,651.5868,666.9718,682.6990,698.7208,714.7706,731.0479,747.5671,764.3536,781.4219,798.4903,815.7924,833.2754,850.8645,868.8907,886.3487,903.7496,921.1076,938.4526,955.8044,973.1476,990.4601,1007.7470,1025.0150,1042.2620,1059.5010,1076.7060,1093.7870,1110.6260,1127.1440,1143.2890,1159.0950,1174.6620,1190.1380,1205.6250,1221.1560,1236.6870,1252.1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Indonesia,88.7076,90.8567,93.0865,95.4045,97.8211,100.3432,102.9184,105.5884,108.3459,111.1794,114.0802,116.9891,119.9551,122.9808,126.0701,129.2241,132.3799,135.5849,138.8407,142.1493,145.5103,148.8656,152.2624,155.6807,159.0928,162.4787,165.7661,169.0188,172.2445,175.4543,178.6332,181.7863,184.9168,188.0193,191.0857,194.1126,197.0979,200.0504,202.9909,205.9468,208.9387,211.9704,215.0383,218.1456,221.2938,224.4809,227.7098,230.9728,234.2435,237.4869,240.6765,243.8016,246.8642,249.8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
