"OECD (2015), Doctors (indicator). doi: 10.1787/4355e1ec-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/doctors.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Doctors, Total, Per 1 000 inhabitants"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5300,2.5900,2.6300,2.6700,2.7600,2.8600,2.8600,2.9000,2.9300,2.9600,3.0000,3.0300,3.0400,3.0700,3.0900,3.2700,3.2600,3.2900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,..
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0200,3.0700,3.1200,3.1400,3.1800,3.2000,3.2100,3.2300,3.2400,3.2400,3.2600,3.2900,3.3100,3.3200,3.3400,3.3400,3.3300,3.3100,3.3100,3.2700,3.2700,3.3100,3.3200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7600,2.8400,2.9200,3.0000,3.0600,3.1100,3.1300,3.1700,3.2100,3.2600,3.3100,3.3400,3.3700,3.3900,3.4100,3.4500,3.5000,3.5600,3.6400,3.7300,3.8200,3.9600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,..
Greece,1.2500,1.2400,1.2700,1.3300,1.4100,1.4100,1.4400,1.4800,1.5100,1.5600,1.6200,1.6900,1.7300,1.9000,2.0000,2.0400,2.1000,2.2000,2.2600,2.3400,2.4300,2.5400,2.6500,2.8000,2.8500,2.9300,3.0600,3.3300,3.2000,3.2900,3.3800,3.6300,3.7400,3.8300,3.8400,3.8700,3.8800,3.9900,4.1300,4.2400,4.3300,4.3800,4.5800,4.7400,4.8800,5.0100,5.3600,5.5700,6.0600,6.1700,6.2100,6.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
Hungary,1.5400,1.6000,1.6600,1.7300,1.7900,1.8600,1.9200,2.0000,1.9200,1.9700,2.0200,2.0700,2.1100,2.1600,2.2000,2.2400,2.2800,2.3300,2.3800,2.4600,2.2900,2.3300,2.3900,2.4100,2.4600,2.6300,2.6600,2.7800,2.8000,2.9100,2.9400,3.0300,3.0100,2.9600,3.0000,3.0000,3.0400,3.0800,3.0800,3.1000,2.6800,2.8900,3.1900,3.2500,3.3400,2.7800,3.0400,2.8000,3.0900,3.0200,2.8700,2.9600,3.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Iceland,1.1700,1.1800,1.2300,1.2300,1.2300,1.2400,1.2200,1.2100,1.2600,1.2900,1.4200,1.4800,1.5900,1.6200,1.7300,1.8400,1.8500,1.9100,1.9600,2.0300,2.1400,2.2100,2.2700,2.3000,2.4000,2.5900,2.6000,2.7000,2.7000,2.8300,2.8500,2.8500,2.9500,2.9500,3.0000,3.0200,3.1200,3.2600,3.3200,3.3800,3.4400,3.4700,3.5800,3.6200,3.6200,3.6100,3.6000,3.6200,3.6500,3.6600,3.6000,3.5100,3.5700,3.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4400,0.4400,0.4500,0.4600,0.4700,0.4800,0.4900,0.5000,0.5100,0.5200,0.5300,0.5400,0.5600,0.5700,0.5800,0.6000,0.6100,0.6300,0.6500,0.6700,0.7000,0.7600,0.7100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3100,0.3100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7200,2.8000,2.9000,3.0100,3.0800,3.2400,3.1600,3.1300,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5700,3.6300,3.7000,3.6200,3.4500,3.2700,3.2800,3.3600,3.3400,3.2200,3.2100,3.2800,3.4200,3.4600,3.3200,3.2600,3.2500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
