"OECD (2015), Hospital beds (indicator). doi: 10.1787/0191328e-en (Accessed on 30 June 2015)"
https://data.oecd.org/healtheqt/hospital-beds.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Hospital beds, Acute care, Per 1 000 inhabitants"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3500,4.2500,4.1700,4.0600,3.9500,3.9000,3.8100,3.7400,3.6900,3.6200,3.5800,3.5200,3.4900,3.4600,3.4300,3.3900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1300,6.9700,6.8000,6.6900,6.5800,6.4300,6.2800,6.1900,6.1200,6.0500,5.9600,5.8900,5.8200,5.6800,5.5900,5.4300,5.3800,5.3500,5.3500,5.3300,5.3100,5.3800,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,..
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8800,3.9000,3.8300,3.8600,3.8300,3.8000,3.7500,3.7400,3.8400,3.7900,3.8200,3.8000,3.8700,3.9500,3.9600,3.9700,4.0900,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..,..,..,..
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7500,5.5800,5.5600,5.5500,5.5300,5.5400,5.5500,4.1600,4.1300,4.1300,4.1400,4.1500,3.9800,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9100,4.9300,4.3100,4.2600,4.1000,4.0500,4.0500,3.8900,3.7500,3.6800,,,,,,,,,,,2.8500,2.5500,2.4700,2.5300,2.2600,2.2900,2.2800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,4.2400,4.2200,4.2100,4.2200,4.0800,4.1100,3.9300,3.4400,3.1200,3.1500,3.1800,3.2200,3.1300,3.0400,3.0300,3.0500,3.0300,2.8900,2.8400,2.8100,2.7900,2.7400,2.8100,2.8000,2.7800,2.7600,2.6900,2.6200,2.5300,2.3500,2.2400,2.1700,2.0900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7000,2.6600,2.6200,2.5200,2.4900,2.4500,2.4100,2.3600,2.3400,2.3100,2.2900,2.2800,2.2500,2.2200,2.1800,2.1400,2.1100,2.1100,2.0700,2.0300,2.0000,1.9500,1.9300,1.9000,1.8900,1.9000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,8.5200,8.4000,8.2400,8.0900,8.0400,7.8700,7.7200,7.5500,7.3700,7.1300,6.9500,6.7000,6.5700,6.3600,6.0600,6.1600,5.8300,5.9100,5.7800,5.6500,5.5700,5.7700,5.2700,5.0200,4.5800,4.0700,3.9600,3.7700,3.5300,3.3600,3.3400,3.2800,3.1800,3.0700,2.9800,2.9300,2.8200,2.7300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3000,12.1700,11.9800,11.7700,11.5300,11.1100,10.3100,9.6100,9.2900,8.9500,8.4900,8.3800,8.2000,8.2300,8.2300,8.1500,8.1100,8.0200,7.9500,7.9400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,..
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0400,2.1700,2.3100,2.4900,2.7900,2.9700,3.1300,3.3000,3.4500,3.6100,3.9300,3.8000,4.1900,4.1700,4.4400,4.5700,4.7700,5.0800,5.3200,5.5000,5.5300,5.9100,6.1200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
