"OECD (2015), Health spending (indicator). doi: 10.1787/8643de7e-en (Accessed on 03 July 2015)"
https://data.oecd.org/healthres/health-spending.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Health spending, Total, % of GDP"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
France,3.8370,,,,,4.7635,,,,,5.4007,,,,,6.3978,,,,,7.0316,,,,,7.9957,,,,,8.3666,8.6079,8.8661,9.2884,9.2598,10.3559,10.3753,10.2503,10.1460,10.1536,10.0848,10.2113,10.5603,10.7536,10.8859,10.9326,10.8522,10.7751,10.9124,11.5992,11.5543,11.5235,11.6108,,,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,|,,,,,,,,,,..
Germany,,,,,,,,,,,6.0056,6.4812,6.8050,7.1628,7.6948,8.3613,8.3625,8.2658,8.3753,8.1991,8.4230,8.7037,8.5785,8.5542,8.6320,8.7774,8.6710,8.7727,8.9432,8.3422,8.2875,,9.6248,9.6119,9.8180,10.1137,10.4202,10.2668,10.2941,10.3620,10.3952,10.5042,10.7243,10.9191,10.6689,10.8089,10.6374,10.4771,10.7042,11.7539,11.5567,11.2489,11.2675,11.2972,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,..,|,,,,,,,,,,,,,,,,,,,,,e
Greece,,,,,,,,,,,5.4525,,,,,,,,,,5.9371,,,,,,,6.6651,5.9855,6.5815,6.6645,6.5039,7.1116,7.9548,8.7033,8.6678,8.6325,8.5155,8.4467,8.6961,7.9515,8.8843,9.1821,9.0135,8.7606,9.6618,9.7487,9.8104,10.1268,10.1924,9.4842,9.7897,9.2688,,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0696,7.5908,7.6156,8.1625,7.3256,7.0787,6.8293,7.1760,7.3227,7.1769,7.2412,7.5922,8.5691,8.2192,8.4456,8.2586,7.6744,7.4631,7.7356,8.0587,8.0307,7.9651,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,|,,,,,,,,,,..
Iceland,2.9798,3.0424,3.2642,3.3252,3.5073,3.4932,3.5959,3.9487,5.4348,4.5874,4.7303,5.1697,5.0678,4.6435,5.3016,5.7268,5.3734,5.3201,5.7237,6.4688,6.2688,6.4854,6.7737,7.3557,6.8655,7.1894,7.6753,7.8489,8.3962,8.2055,7.8027,8.0292,8.1605,8.2599,8.0661,8.2055,8.1648,8.0971,8.9053,9.6265,9.4997,9.3414,10.1525,10.3817,9.8810,9.4427,9.1292,9.0913,9.1344,9.6356,9.2922,9.0473,9.0390,9.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,e
Ireland,3.6513,3.5266,3.7589,3.8451,3.7880,4.0389,4.4718,4.8460,4.5912,4.8084,5.0032,5.9296,5.9976,6.1355,6.6324,7.2442,7.1615,6.8220,7.2513,7.4060,8.1460,7.7745,7.5002,7.5736,7.3282,7.4202,7.2759,7.0096,6.6369,6.2221,5.9964,6.4062,6.9444,6.8407,6.8564,6.5644,6.4762,6.3152,6.1481,6.0582,6.1831,6.8437,7.1268,7.3054,7.6394,7.5827,7.5225,7.8653,8.9909,9.9499,9.2077,8.7134,8.8741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Israel,,,,,,,,,,,,,,,,5.3359,5.7837,6.4122,7.1151,7.4824,7.4268,7.1965,7.3335,7.8420,9.3905,6.9206,6.3780,6.6158,6.7993,7.2988,6.8628,6.5448,6.7484,6.9858,7.4598,7.2936,7.3850,7.6017,7.4687,7.2314,7.2567,7.7539,7.6503,7.5724,7.4868,7.5495,7.3082,7.2788,7.3068,7.3019,7.2671,7.2974,7.3491,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3026,7.2940,7.6744,7.9061,7.7493,7.6479,7.4111,7.0577,7.1551,7.4323,7.4916,7.5717,7.8745,8.0618,8.1911,8.1658,8.5014,8.7437,8.8401,8.5014,8.8915,9.4037,9.4079,9.2484,9.1874,9.0909,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2.9534,3.3881,3.5782,3.8443,3.4883,4.3913,4.4883,4.6053,4.6156,4.5784,4.4363,4.5499,4.6576,4.5347,4.9783,5.5042,5.5050,5.6425,5.8330,5.9565,6.3528,6.4228,6.5818,6.6848,6.4848,6.5483,6.5009,6.5106,6.2189,5.9696,5.8107,5.8521,6.1125,6.3878,6.6608,6.8069,6.9536,6.8907,7.1766,7.4407,7.6034,7.8061,7.8575,7.9881,7.9947,8.1819,8.1986,8.2295,8.6050,9.5258,9.5890,10.0764,10.2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,..
Korea,,,,,,,,,,,,,,,,,,,,,3.7073,3.8127,3.8401,3.7213,3.5363,3.5675,3.3984,3.3059,3.4790,3.9873,3.9415,3.7808,3.9585,3.8808,3.8795,3.8412,4.0414,4.0468,4.1480,4.4109,4.4455,5.0237,4.8731,5.2017,5.2481,5.6564,6.1105,6.4080,6.6357,7.1890,7.3343,7.4231,7.6337,7.7647,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
